# ident               redshift   spec1                      i-megacam   i-megacam_err   u-megacam   u-megacam_err   g-megacam   g-megacam_err   r-megacam   r-megacam_err   i-megacam   i-megacam_err   z-megacam   z-megacam_err   J-wircam   J-wircam_err   H-wircam   H-wircam_err   K-wircam   K-wircam_err  
  SPARTAN_comb_N1     0.801      SPARTAN_comb_N1_1.spec     21.0007     0.0             22.8472     0.0264          22.4576     0.1011          21.8752     0.0872          21.0007     0.3372          20.5904     0.4288          19.9202    1.1865         19.4415    0.4385         19.0194    1.3721        
  SPARTAN_comb_N2     0.8012     SPARTAN_comb_N2_1.spec     22.5444     0.0             25.9235     0.2388          25.2509     0.2186          23.8276     0.2188          22.5444     0.1952          21.9736     0.4162          21.3062    0.5282         20.8437    1.1437         20.6144    0.2324        
  SPARTAN_comb_N3     0.8012     SPARTAN_comb_N3_1.spec     23.3171     0.0             23.7674     0.4988          23.771      0.0606          23.6265     0.3099          23.3171     0.3394          23.0001     0.1803          22.6996    1.6885         23.0141    1.2267         23.2017    0.0953        
  SPARTAN_comb_N4     0.8013     SPARTAN_comb_N4_1.spec     22.7623     0.0             22.8416     0.3253          22.9498     0.0589          22.969      0.1625          22.7623     0.1068          22.6557     0.475           22.6005    0.4317         22.6207    0.6603         22.5434    0.0859        
  SPARTAN_comb_N5     0.8016     SPARTAN_comb_N5_1.spec     23.1665     0.0             25.1707     0.0061          24.7621     0.2864          24.1094     0.1411          23.1665     0.0276          22.7067     0.2989          22.0123    0.6033         21.7621    0.8004         21.5996    0.6909        
  SPARTAN_comb_N6     0.8019     SPARTAN_comb_N6_1.spec     23.4815     0.0             24.6108     0.2896          24.4572     0.1521          24.1223     0.3253          23.4815     0.0371          23.1679     0.4419          22.7443    1.2051         22.6731    0.659          22.5905    1.1698        
  SPARTAN_comb_N7     0.802      SPARTAN_comb_N7_1.spec     22.5757     0.0             24.1288     0.1293          23.6929     0.2322          23.0817     0.1613          22.5757     0.3215          21.8665     0.593           20.9678    0.703          21.0525    0.9523         21.0872    0.652         
  SPARTAN_comb_N8     0.8021     SPARTAN_comb_N8_1.spec     21.4464     0.0             22.1461     0.1278          22.1241     0.1402          21.9225     0.2817          21.4464     0.3625          21.1727     0.3897          20.8911    0.8249         21.0649    0.379          21.1816    1.0729        
  SPARTAN_comb_N9     0.8021     SPARTAN_comb_N9_1.spec     22.5109     0.0             25.0774     0.8584          24.6241     8.0E-4          23.6991     0.2589          22.5109     0.3169          22.2745     0.3791          22.0104    0.6708         21.8525    0.1856         21.8424    0.3252        
  SPARTAN_comb_N10    0.8021     SPARTAN_comb_N10_1.spec    23.9027     0.0             28.0837     0.0397          27.1438     0.1851          25.6558     0.2782          23.9027     0.1557          23.2975     0.4679          22.3007    0.8315         21.5886    1.1068         20.9938    1.3161        
  SPARTAN_comb_N11    0.8022     SPARTAN_comb_N11_1.spec    21.7312     0.0             21.7947     0.4001          21.8379     0.3362          21.7268     0.1018          21.7312     0.2317          21.1956     0.2689          20.7593    0.2522         21.3967    0.8935         21.8474    0.3305        
  SPARTAN_comb_N12    0.8023     SPARTAN_comb_N12_1.spec    24.2061     0.0             25.8927     0.1016          25.7309     0.541           25.2106     0.0441          24.2061     0.293           23.9325     0.3362          23.5888    0.3061         23.4026    0.5323         23.3004    0.2432        
  SPARTAN_comb_N13    0.8025     SPARTAN_comb_N13_1.spec    22.8467     0.0             23.2732     0.3021          23.3546     0.0495          23.2735     0.1332          22.8467     0.0436          22.6644     0.6789          22.5081    0.8321         22.6397    1.0021         22.7018    0.3496        
  SPARTAN_comb_N14    0.8025     SPARTAN_comb_N14_1.spec    23.226      0.0             25.1257     0.2125          24.9011     0.219           24.2818     0.0049          23.226      0.191           22.7127     0.2536          21.9484    0.8216         21.3761    0.0059         20.908     0.6295        
  SPARTAN_comb_N15    0.8027     SPARTAN_comb_N15_1.spec    22.1367     0.0             23.8295     0.5467          23.4531     0.0103          22.9165     0.156           22.1367     0.1516          21.7484     0.5093          21.1165    0.797          20.6811    0.3778         20.2907    0.9027        
