# ident               redshift   spec1                      i-megacam   i-megacam_err  
  SPARTAN_comb_N1     0.801      SPARTAN_comb_N1_1.spec     21.0007     0.5            
  SPARTAN_comb_N2     0.8012     SPARTAN_comb_N2_1.spec     22.5444     0.5            
  SPARTAN_comb_N3     0.8012     SPARTAN_comb_N3_1.spec     23.3171     0.5            
  SPARTAN_comb_N4     0.8013     SPARTAN_comb_N4_1.spec     22.7623     0.5            
  SPARTAN_comb_N5     0.8016     SPARTAN_comb_N5_1.spec     23.1665     0.5            
  SPARTAN_comb_N6     0.8019     SPARTAN_comb_N6_1.spec     23.4815     0.5            
  SPARTAN_comb_N7     0.802      SPARTAN_comb_N7_1.spec     22.5757     0.5            
  SPARTAN_comb_N8     0.8021     SPARTAN_comb_N8_1.spec     21.4464     0.5            
  SPARTAN_comb_N9     0.8021     SPARTAN_comb_N9_1.spec     22.5109     0.5            
  SPARTAN_comb_N10    0.8021     SPARTAN_comb_N10_1.spec    23.9027     0.5            
  SPARTAN_comb_N11    0.8022     SPARTAN_comb_N11_1.spec    21.7312     0.5            
  SPARTAN_comb_N12    0.8023     SPARTAN_comb_N12_1.spec    24.2061     0.5            
  SPARTAN_comb_N13    0.8025     SPARTAN_comb_N13_1.spec    22.8467     0.5            
  SPARTAN_comb_N14    0.8025     SPARTAN_comb_N14_1.spec    23.226      0.5            
  SPARTAN_comb_N15    0.8027     SPARTAN_comb_N15_1.spec    22.1367     0.5            
  SPARTAN_comb_N16    0.8028     SPARTAN_comb_N16_1.spec    23.5594     0.5            
  SPARTAN_comb_N17    0.8032     SPARTAN_comb_N17_1.spec    22.2861     0.5            
  SPARTAN_comb_N18    0.8039     SPARTAN_comb_N18_1.spec    22.9413     0.5            
  SPARTAN_comb_N19    0.8039     SPARTAN_comb_N19_1.spec    23.3828     0.5            
  SPARTAN_comb_N20    0.8044     SPARTAN_comb_N20_1.spec    23.5602     0.5            
  SPARTAN_comb_N21    0.8045     SPARTAN_comb_N21_1.spec    21.1321     0.5            
  SPARTAN_comb_N22    0.8052     SPARTAN_comb_N22_1.spec    24.0955     0.5            
  SPARTAN_comb_N23    0.8054     SPARTAN_comb_N23_1.spec    22.7475     0.5            
  SPARTAN_comb_N24    0.8055     SPARTAN_comb_N24_1.spec    22.1269     0.5            
  SPARTAN_comb_N25    0.8062     SPARTAN_comb_N25_1.spec    22.5885     0.5            
  SPARTAN_comb_N26    0.8068     SPARTAN_comb_N26_1.spec    21.43       0.5            
  SPARTAN_comb_N27    0.8068     SPARTAN_comb_N27_1.spec    23.9629     0.5            
  SPARTAN_comb_N28    0.8073     SPARTAN_comb_N28_1.spec    24.1095     0.5            
  SPARTAN_comb_N29    0.8074     SPARTAN_comb_N29_1.spec    23.2821     0.5            
  SPARTAN_comb_N30    0.8074     SPARTAN_comb_N30_1.spec    23.9493     0.5            
  SPARTAN_comb_N31    0.8075     SPARTAN_comb_N31_1.spec    22.5661     0.5            
  SPARTAN_comb_N32    0.8083     SPARTAN_comb_N32_1.spec    21.1506     0.5            
  SPARTAN_comb_N33    0.8084     SPARTAN_comb_N33_1.spec    23.2987     0.5            
  SPARTAN_comb_N34    0.8084     SPARTAN_comb_N34_1.spec    23.3526     0.5            
  SPARTAN_comb_N35    0.8087     SPARTAN_comb_N35_1.spec    22.4935     0.5            
